ID,SENTENCE,Class
1,When was insulin first discovered?,informationanddefinition
2,How many types of insulin are there?,informationanddefinition
3,What determines the strengths of insulin?,informationanddefinition
4,What are insulin Additives and allergies?,informationanddefinition
5,How does alcohol affect Blood Sugar?,complications
6,What is Alström Syndrome?,informationanddefinition
7,What does Alström Syndrome Symptoms includes?,manifestation
8,what is the causes of Alström syndrome?,cause
9,How is Alström syndrome diagnosed?,diagnosis
10,Can I get an artificial pancreas?,informationanddefinition
11,What is an artificial pancreas?,informationanddefinition
12,What is an Autoimmune Disease?,informationanddefinition
13,What causes the immune system to act this way?,cause
14,What are the most common autoimmune diseases?,informationanddefinition
15,What are the symptoms of autoimmune diesease?,manifestation
16,what is Binge Eating Disorders?,informationanddefinition
17,What counts as binge eating?,informationanddefinition
18,What can cause binge eating to take place?,cause
19,How can hunger follow after recently eating?,informationanddefinition
20,Are there any body parts I shouldn’t get pierced?,informationanddefinition
21,How could bone marrow transplants treat type 1 diabetes?,management
22,How is a bone marrow transplant carried out?,informationanddefinition
23,Was bone marrow transplantation successful in treating type 1 diabetes?,management
24,How does brittle diabetes develop and what is it associated with?,diagnosis
25,Is brittle diabetes different from stable diabetes?,informationanddefinition
26,What is the life expectancy with brittle diabetes?,informationanddefinition
27,Is brittle diabetes common?,informationanddefinition
28,Will I get brittle diabetes?,informationanddefinition
29,How is brittle diabetes treated?,management
30,Can People with Diabetes Give Blood?,informationanddefinition
31,What are the conditions for giving blood?,informationanddefinition
32,How to care for Someone with Diabetes?,management
33,How to care for a child with diabetes?,management
34,How to care for a partner with diabetes?,management
35,How to care for an elderly person with diabetes?,management
36,What are the Causes of Type 1 Diabetes?,cause
37,What are type 1 diabetes triggers?,cause
38,What are the causes of Type 2 Diabetes?,cause
39,what are risk factors for type 2 diabetes?,complications
40,How is diabetes caused in children?,cause
41,What symptoms do children with diabetes exhibit?,manifestation
42,How are children with diabetes treated?,management
43,What can the parents of children with diabetes do?,informationanddefinition
44,how to control Type 1 Diabetes?,management
45,How to controlling Type 2 Diabetes?,management
46,What can we learn from an HbA1c test?,diagnosis
47,What are type 2 medications?,informationanddefinition
48,What are the cost of Diabetes?,informationanddefinition
49,what are the cost of diabetes complications?,informationanddefinition
50,what are C-peptide Test?,diagnosis
51,What is C-peptide?,informationanddefinition
52,Why is a c-peptide test done?,diagnosis
53,How is the test performed?,diagnosis
54,what does C-peptide test results show?,diagnosis
55,What is Critical Illness Cover?,informationanddefinition
56,Why do I need Critical Illness Cover?,informationanddefinition
57,Have Critical Illness products been available in the past?,informationanddefinition
58,How does Critical Illness for Diabetes work?,informationanddefinition
59,What does Critical Illness cost?,informationanddefinition
60,What is cystic fibrosis?,informationanddefinition
61,what are the symptoms of diabetes in cystic fibrosis?,manifestation
62,what are the diagnosis of diabetes in cystic fibrosis?,diagnosis
63,what are the causes of Cystic fibrosis?,cause
64,what are the treatment for Cystic fibrosis?,management
65,Waht are symptoms of dehydration?,manifestation
66,What are the causes and contributory factors of dehydration?,cause
67,What are symptoms of severe dehydration?,manifestation
68,How does LADA compare with other diabetes types?,informationanddefinition
69,How common is LADA?,informationanddefinition
70,How is LADA diagnosed?,diagnosis
71,How is LADA treated?,management
72,What complications are related to LADA?,complications
73,What is MODY diabetes?,informationanddefinition
74,Why is MODY inherited so easily?,informationanddefinition
75,Why does MODY differ from other strains of diabetes?,informationanddefinition
76,what is the relation between Diabetes and Alcohol?,complications
77,What are the recommended alcohol guidelines for people with diabetes?,informationanddefinition
78,How much alcohol do drinks usually contain?,informationanddefinition
79,So if I have diabetes I can drink as usual?,informationanddefinition
80,What do I need to be careful of when it comes to diabetes and alcohol?,management
81,what is the relation between Diabetes and Amputation?,complications
82,Why is Diabetes is a leading cause of amputation?,cause
83,What factors leads to amputation?,cause
84,How are these factors assessed?,informationanddefinition
85,What are major and minor amputations?,informationanddefinition
86,How should I identify a foot at risk from amputation?,diagnosis
87,What is the purpose of disability benefits?,informationanddefinition
88,What benefits are available to me?,informationanddefinition
89,what are Carbohydrate Controlled Diets?,management
90,What is a carbohydrate controlled diet?,management
91,what are Fixed carbohydrate intakes?,informationanddefinition
92,what are Restricted carbohydrate diets?,informationanddefinition
93,How do restricted carbohydrate diets work?,informationanddefinition
94,what is the relation between diabetes and Cholesterol?,complications
95,What is cholesterol?,informationanddefinition
96,what are the Cholesterol targets for people with diabetes?,informationanddefinition
97,what are the Symptoms of high cholesterol?,manifestation
98,What causes high cholesterol?,cause
99,how does Diet affect cholesterol?,complications
100,how to Diagnose high cholesterol?,diagnosis
101,how to Treat high cholesterol?,management
102,Do I need tablets (statins) for high cholesterol?,informationanddefinition
103,what is the relation between Diabetes and Coeliac Disease (Coeliac Sprue or Gluten Allergy)?,complications
104,What symptoms are common in coeliac disease?,manifestation
105,what is the relation Coeliac disease and children?,complications
106,How large is the risk of coeliac disease in the UK?,complications
107,What are the causes of coeliac disease?,cause
108,Is there a link between diabetes and coeliac disease?,complications
109,How will being coeliac affect my diabetes?,complications
110,What diet should I use if I have coeliac disease and diabetes?,informationanddefinition
111,Who can I turn to for help and advice about diabetes and coeliac disease?,management
112,how is Diabetes and Dental Health related?,informationanddefinition
113,how is Diabetes and dental hygiene related?,informationanddefinition
114,how is Diabetes and gum diseases related?,informationanddefinition
115,What are the symptoms of dental health problems?,manifestation
116,How could Dental treatment affect blood sugar levels?,complications
117,what is the relation between Diabetes and Depression?,complications
118,What exactly is depression?,informationanddefinition
119,How can depression affect my diabetes?,complications
120,what is Diabulimia?,informationanddefinition
121,What are the signs of diabulimia?,manifestation
122,How does diabulimia work?,informationanddefinition
123,How does diabulimia affect the body?,complications
124,Will I lose my job if my diabetes causes me to have too much time off work?,informationanddefinition
125,Can my employer reduce my pay because of leave for my diabetes?,informationanddefinition
126,Do I need to inform the DVLA for my diabetes?,informationanddefinition
127,what the relationship between Diabetes and Employment?,complications
128,Are some jobs more suitable for people with diabetes?,informationanddefinition
129,Are diabetics banned from doing some jobs?,informationanddefinition
130,what is the relation between Diabetes and Ethnicity?,complications
131,what are interesting Ethnicity facts of diabetes?,informationanddefinition
132,how is Diabetes in India and China?,informationanddefinition
133,what is the relation between Diabetes and Extreme Sports?,complications
134,What are extreme sports?,informationanddefinition
135,Why shouldn’t diabetics take part in extreme sports?,informationanddefinition
136,What should diabetics wishing to participate in extreme sports do?,informationanddefinition
137,what is the relation between Diabetes and Fitness?,complications
138,what does Fitness and Exercise Guides do?,informationanddefinition
139,What is the best kind of physical activity to help prevent or manage diabetes?,management
140,what is Seize the moment?,informationanddefinition
141,What problems can hot weather cause for people with diabetes?,complications
142,What are the hypo risks from hot weather?,complications
143,What is hyperglycemia?,informationanddefinition
144,What causes hyperglycemia?,cause
145,What are the symptoms of hyperglycemia?,manifestation
146,Is hyperglycemia serious?,informationanddefinition
147,How to avoid and deal with hyperglycemia?,management
148,How does illness affect diabetes?,complications
149,Which injection site is best?,informationanddefinition
150,What else affects how fast insulin enters the blood?,complications
151,What are ketones?,informationanddefinition
152,How do I test for ketones?,diagnosis
153,Who needs to be aware of ketones?,informationanddefinition
154,Will I be able to lead a ‘normal’  life?,informationanddefinition
155,What are the risk factors for metabolic syndrome?,complications
156,What are the symptoms of metabolic syndrome?,manifestation
157,What if I have some of these symptoms?,manifestation
158,What is metabolism?,informationanddefinition
159,How does insulin resistance lead to higher blood sugar levels?,complications
160,What is nocturia?,informationanddefinition
161,what are the Causes of nocturia?,cause
162,what is the relation between Diabetes and nocturia?,complications
163,How can nocturia be treated?,management
164,what are the Links between obesity and type 2 diabetes?,complications
165,How does obesity cause type 2 diabetes?,cause
166,how to Make lifestyle changes?,informationanddefinition
167,what is the relation between Pregnancy and Diabetes?,complications
168,How does smoking increase my heart disease risk as a diabetic?,complications
169,What other diabetes complications will smoking affect?,complications
170,What benefits could giving up smoking give to me as a diabetic?,informationanddefinition
171,What are stem cells?,informationanddefinition
172,What is stem cell research?,informationanddefinition
173,Where do stem cells come from?,informationanddefinition
174,how is Stem cells use in islet cell transplants?,informationanddefinition
175,What are the differences in diagnosing diabetes amongst the elderly when compared to diabetes amongst the young?,diagnosis
176,What are the differences in treatment of diabetes amongst the elderly when compared to diabetes amongst the young?,management
177,Are there increased risks when an elderly person develops diabetes?,complications
178,Will diabetes treatment vary between each person?,management
179,how does Diabetes affect the Family?,complications
180,Why might someone with diabetes need the help and support of their family?,management
181,How can one help relatives with diabetes?,management
182,What healthy changes should I encourage my relative to make?,complications
183,What else can I do to help the diabetic or diabetics in my family?,management
184,Any other tips about diabetes and the family?,informationanddefinition
185,Someone in my family has diabetes; do I have a greater risk of developing it?,complications
186,Do I need to be screened for diabetes if a family member is diagnosed?,diagnosis
187,What is the best weapon families can employ against diabetes?,informationanddefinition
188,Which diet will help me to lose weight?,management
189,How does exercise help diabetes and weight loss?,management
190,Could alternative weight loss therapies help?,management
191,Should I consider weight loss surgery?,informationanddefinition
192,what are the Causes of Diabetes?,cause
193,what are Type 1 diabetes causes?,cause
194,what are Type 2 diabetes causes?,cause
195,what are Other diabetes causes?,cause
196,what causes Gestational diabetes?,cause
197,what are the Symptoms of charcot foot?,manifestation
198,what are the Causes of charcot foot?,cause
199,what are the Treatment for charcot foot?,management
200,what to do when Recovering from charcot foot?,informationanddefinition
201,what are Diabetes Checks?,informationanddefinition
202,what are Diabetes check ups for newly diagnosed people with diabetes?,diagnosis
203,What is stress?,informationanddefinition
204,What can cause stress?,cause
205,How does stress affect my diabetes?,complications
206,What is the fight-freeze or flight response?,informationanddefinition
207,How can I combat stress?,informationanddefinition
208,How does exercise help with stress?,management
209,How does mindfulness meditation alleviate stress?,informationanddefinition
210,What is a diabetes screening test?,diagnosis
211,What kind of conditions are usually related to diabetes?,informationanddefinition
212,Can some drugs cause diabetes?,cause
213,What kind of problems could indicate diabetes?,manifestation
214,what are Diabetes Drugs?,management
215,Diabetes Drugs:what is Insulin?,management
216,Diabetes Drugs: what are Biguanides / Metformin?,management
217,Diabetes Drugs: what are Sulphonylureas?,management
218,Diabetes Drugs: what are Meglitinides / Prandial glucose regulator / Glinides?,management
219,Diabetes Drugs: what are Alpha-glucosidase inhibitors?,management
220,Diabetes Drugs: what are Thiazolidinedione / Glitazones?,management
221,Diabetes Drugs: what are DPP-4 inhibitors / Gliptins?,management
222,Diabetes Drugs: what are Incretin mimetics / GLP-1 analogues?,management
223,Diabetes Drugs: what are Amylin analogues?,management
224,can I have a list of A-Z of diabetes drugs?,management
225,What causes erectile dysfunction amongst diabetics?,cause
226,How is ED diagnosed?,diagnosis
227,Are there treatments for men with diabetes and erectile dysfunction?,management
228,What is prediabetes?,informationanddefinition
229,Does stress impact blood sugar levels?,informationanddefinition
230,How many carbs can I eat on the Low Carb Program?,informationanddefinition
231,Can I drink sugar free diet drinks?,informationanddefinition
232,Can I come off insulin?,informationanddefinition
233,How do I eat to my meter?,informationanddefinition
234,What is fibre and should I avoid it?,management
235,Why are my blood glucose levels high in the morning when I’m fasted?,informationanddefinition
236,How do I get started on the program?,informationanddefinition
237,Can I drink fruit juice?,informationanddefinition
238,What snacks can I eat?,informationanddefinition
239,What is glucagon?,informationanddefinition
240,What can I have for breakfast that doesn’t involve egg?,informationanddefinition
241,What can I have for breakfast that doesn’t involve bacon?,informationanddefinition
242,What can I have for breakfast that doesn’t involve dairy?,informationanddefinition
243,What can I have for breakfast?,informationanddefinition
244,Is low carb making me tired?,informationanddefinition
245,Is this program just for people with diabetes?,informationanddefinition
246,Can I eat Potato?,informationanddefinition
247,Can I eat sweet potato?,informationanddefinition
248,Can I eat cassava?,informationanddefinition
249,Can I eat yam?,informationanddefinition
250,Can I eat yuca?,informationanddefinition
251,Can I eat Chinese yam?,informationanddefinition
252,Can I eat crisps?,informationanddefinition
253,Can I eat cake?,informationanddefinition
254,Are there any low carb cakes?,informationanddefinition
255,Can I eat biscuits,informationanddefinition
256,Are there any low carb biscuits?,informationanddefinition
257,Can I eat cheesecake?,informationanddefinition
258,Are there any low carb cheesecake recipes?,informationanddefinition
259,Can I eat carrot cake?,informationanddefinition
260,Are there any low carb carrot cake recipes?,informationanddefinition
261,Can I eat cookies?,informationanddefinition
262,Are there any low carb cookies?,informationanddefinition
263,How do I add my blood sugar/glucose levels on the app?,informationanddefinition
264,Can I eat chicken nuggets?,informationanddefinition
265,Can I eat chocolate?,informationanddefinition
266,Which dark chocolate brands are good for low carb?,informationanddefinition
267,What coffee can I order from Starbucks?,informationanddefinition
268,How do I make a healthy habit stick?,informationanddefinition
269,Is raw sugar better than table sugar?,informationanddefinition
270,What is protein?,informationanddefinition
271,How much protein should I eat per day?,informationanddefinition
272,Will eating fat make me fat?,informationanddefinition
273,Can I drink beer?,informationanddefinition
274,Should I take a multivitamin?,informationanddefinition
275,Will sleep impact my blood sugar or weight?,informationanddefinition
276,Can I eat cereal?,informationanddefinition
277,Can I Cook with flour?,informationanddefinition
278,Can I eat pasta?,informationanddefinition
279,Can I eat whole wheat pasta?,informationanddefinition
280,Can I eat whole wheat flour?,informationanddefinition
281,Can I eat rice?,informationanddefinition
282,Can I eat brown whole grain rice?,informationanddefinition
283,Can I eat crackers?,informationanddefinition
284,Can I eat rice cakes?,informationanddefinition
285,Can I eat rye crackers,informationanddefinition
286,Can I eat margarine?,informationanddefinition
287,What is the glycaemic index? ,informationanddefinition
288,Should I follow a low glycaemic index diet?,informationanddefinition
289,Should I eat any foods for brain health?,informationanddefinition
290,Can I eat blueberries?,informationanddefinition
291,Can I eat eggs?,informationanddefinition
292,Can I eat avocado?,informationanddefinition
293,Will low carb help my libido?,management
294,Can food increase my testosterone levels,informationanddefinition
295,What is testosterone?,informationanddefinition
296,Is it safe for a child to be on a low carb diet?,informationanddefinition
297,What are statins?,informationanddefinition
298,"I've been prescribed statins, should I take them?",informationanddefinition
299,Can I exercise intensely on a low carb diet,informationanddefinition
300,Is low carb just for people with type 2?,informationanddefinition
301,Can I use sweeteners?,informationanddefinition
302,Will low carb help to lower my sodium levels? ,management
303,Can low carb cause depression?,cause
304,Will low carb help my epilepsy?,management
305,Will eating low carb cause nutrient deficiencies?,cause
306,What are trans fats?,informationanddefinition
307,What do I do first on the program?,informationanddefinition
308,Should I sugar detox?,informationanddefinition
309,Does low carb cause thyroid problem?,cause
310,Do I need to eat carbs before exercise?,informationanddefinition
311,What does no refined sugar mean?,informationanddefinition
312,Does food with no refined sugar have any sugar in?,informationanddefinition
313,Is unrefined sugar healthy?,informationanddefinition
314,Can I drink alcohol?,informationanddefinition
315,Can I drink wine?,informationanddefinition
316,Can I drink cocktails?,informationanddefinition
317,Will low carb reduce hunger and cravings?,informationanddefinition
318,Is grass fed meat and dairy better?,informationanddefinition
319,What is Omega 3?,informationanddefinition
320,Should I eat more Omega 6?,informationanddefinition
321,Do saturated fats cause heart disease?,cause
322,Which foods contain saturated fats?,informationanddefinition
323,Which foods contain monounsaturated fat?,informationanddefinition
324,Which foods contain poly-unsaturated fats?,informationanddefinition
325,How do I get more vitamin C on low carb?,informationanddefinition
326,Does eating fat increase cholesterol levels?,informationanddefinition
327,Is fat essential?,informationanddefinition
328,Can I go low carb as a vegetarian?,informationanddefinition
329,Can I go low carb as a vegan?,informationanddefinition
330,Is a plant based diet safe whilst eating low carb?,informationanddefinition
331,Can I eat Pecans on a low carb diet?,informationanddefinition
332,Can I eat macadamia nuts?,informationanddefinition
333,Can I eat pine nuts?,informationanddefinition
334,Can I eat Brazil nuts?,informationanddefinition
335,Can I eat peanuts?,informationanddefinition
336,Can I eat cashews?,informationanddefinition
337,Can I eat pistachios?,informationanddefinition
338,What are medium-chain triglycerides? (MCT’s),informationanddefinition
339,Should I take medium chain triglycerides?,informationanddefinition
340,How do I get more vitamin D whilst on low carb?,informationanddefinition
341,Can I drink beer?,informationanddefinition
342,Is low carb good for your teeth?,informationanddefinition
343,Can low carb help Alzheimer’s? ,management
344,Can I drink milk?,informationanddefinition
345,Can I drink Almond milk?,informationanddefinition
346,Can I swap milk for cream in coffee?,informationanddefinition
347,Can I drink hemp milk?,informationanddefinition
348,Can I drink rice milk?,informationanddefinition
349,Can I drink oat milk?,informationanddefinition
350,Can I drink cashew milk?,informationanddefinition
351,Can I drink coconut milk?,informationanddefinition
352,Can I eat tomato soup?,informationanddefinition
353,Can low carb help my polycystic ovarian syndrome (PCOS)?,management
354,What is Polycystic ovarian syndrome(PCOS)?,informationanddefinition
355,Can I eat canned soups?,informationanddefinition
356,Can I eat fried chicken?,informationanddefinition
357,Can I eat burgers?,informationanddefinition
358,Can I eat Jam?,informationanddefinition
359,Can I eat pizza?,informationanddefinition
360,Can I eat popcorn?,informationanddefinition
361,Can I eat at Subway?,informationanddefinition
362,Can I eat at Burger King?,informationanddefinition
363,Can I eat McDonalds?,informationanddefinition
364,Can I eat KFC?,informationanddefinition
365,Can I eat Nando’s?,informationanddefinition
366,Can I eat at a pub?,informationanddefinition
367,Can I eat dried fruit?,informationanddefinition
368,Can I eat granola bars?,informationanddefinition
369,Can I eat breakfast bars?,informationanddefinition
370,Can I eat Nature Valley bars?,informationanddefinition
371,Can I eat Cereal bars?,informationanddefinition
372,Can I eat flapjacks?,informationanddefinition
373,Can I eat muesli bars?,informationanddefinition
374,Can I eat ketchup?,informationanddefinition
375,Can I eat sweet chilli sauce?,informationanddefinition
376,Can I eat brown sauce?,informationanddefinition
377,Can I eat mayonnaise?,informationanddefinition
378,Can I eat pasta sauce?,informationanddefinition
379,Can I eat BBQ sauce?,informationanddefinition
380,Can I eat hot sauce?,informationanddefinition
381,Can I eat Gravy?,informationanddefinition
382,Can I eat Sriracha sauce?,informationanddefinition
383,Can I eat Tabasco sauce?,informationanddefinition
384,Can I eat chilli sauce?,informationanddefinition
385,Can I eat gummy vitamins?,informationanddefinition
386,Can I eat salad dressing?,informationanddefinition
387,Can I eat yoghurt?,informationanddefinition
388,Can I make smoothies?,informationanddefinition
389,Can I eat corned beef?,informationanddefinition
390,Are there any low carb pasta alternatives?,informationanddefinition
391,Can I follow this program to lose weight?,informationanddefinition
392,Which vegetables should I eat?,informationanddefinition
393,which foods contain healthy fats?,informationanddefinition
394,Which vegetables should I avoid?,management
395,Which foods should I avoid?,management
396,Are there any good books on low carb?,informationanddefinition
397,Any low carb snack ideas?,informationanddefinition
398,What low carb sweet treats are there?,management
399,What’s the max carbs I can eat per day?,informationanddefinition
400,What’s the minimum amount of carbs I should eat per day?,informationanddefinition
401,Will Low carb help my Non-Alcoholic Fatty Liver disease?,management
402,What are the target blood glucose levels?,informationanddefinition
403,Will the low carb program work for type 1?,informationanddefinition
404,Why haven’t I lost any weight yet?,informationanddefinition
405,Will low carb help lower my blood pressure?,management
406,Is low carb high in salt?,informationanddefinition
407,Is high blood pressure dangerous?,informationanddefinition
408,What blood pressure numbers are healthy?,informationanddefinition
409,Are there any low carb rice substitutes?,informationanddefinition
410,"I’m lactose intolerant,  can I follow the Low Carb Program?",informationanddefinition
411,Can I use stevia?,informationanddefinition
412,Can I use erythritol?,informationanddefinition
413,Can I cook with Splenda?,informationanddefinition
414,Can I use aspartame to cook with?,informationanddefinition
415,Can I cook with saccharin?,informationanddefinition
416,Can I cook with sucralose?,informationanddefinition
417,Can I cook with nutrinova?,informationanddefinition
418,Will a low carb diet help my nephropathy?,management
419,Will a low carb diet help my neuropathy?,management
420,Will a low carb diet help my Peripheral neuropathy?,management
421,Will a low carb diet help my autonomic neuropathy?,management
422,What is neuropathy?,informationanddefinition
423,What is retinopathy?,informationanddefinition
424,What is background retinopathy?,informationanddefinition
425,What is Proliferative retinopathy?,informationanddefinition
426,What is diabetic maculopathy?,informationanddefinition
427,Can I eat Honey?,informationanddefinition
428,What is the target HbA1c for people on the programming? ,informationanddefinition
429,what are the Causes of insulin resistance?,cause
430,what are the causes of insulinoma,cause
431,what are the causes of nocturnal hypoglycemia?,cause
432,What causes impaired fasting glycemia?,cause
433,What are the causes of Norovirus?,cause
434,what are the causes of impaired glucose tolerance?,cause
435,"what are the causes of Gestational Diabetes
",cause
436,"what are the causes of hemochromatosis?
",cause
437,what are the causes of hypo unawareness?,cause
438,How is high blood pressure caused?,cause
439,How is hyperinsulinemia caused?,cause
440,How is glucagonoma caused?,cause
441,What are the causes of impotence?,cause
442,what is the risk factors for gestational diabetes,cause
443,what is the relation between gestational diabetes and type 2 diabetes?,complications
444,What is the link between diabetes and impotence?,complications
445,What are the risk factors of glucagonoma?,complications
446,What else does impaired glucose tolerance leave you at risk of?,complications
447,"Which drugs can induce diabetes?
",complications
448,How will flu affect my blood sugar?,complications
449,what are some conditions which can lead to diabetes?,complications
450,what are the conditions linked with type 2 diabetes?,complications
451,what are the conditions linked with type 1 diabetes?,complications
452,How is insulinoma related to diabetes?,complications
453,What are the risks of having hyperinsulinemia?,complications
454,what are the long term effects of diabetes on the body?,complications
455,what are the effect of diabetes on the heart?,complications
456,what are the relation between Diabetes and strokes?,complications
457,How diabetes affects the eyes,complications
458,what are the Effect of diabetes on the kidneys?,complications
459,what are the Effect of diabetes on the nerves?,complications
460,what are the Effect of diabetes on digestion?,complications
461,what are some neonatal diabetes Complications?,complications
462,How diabetes affects the skin?,complications
463,What is the link between Waist Size Risk and Diabetes?,complications
464,what are the risk factors for Diabetes Mellitus?,complications
465,how is HbA1c testing used in diagnosing diabetes?,diagnosis
466,How is HbA1c tested?,diagnosis
467,how to test for diabetes?,diagnosis
468,how to diagnosis of insulinoma?,diagnosis
469,How is impaired fasting glycemia diagnosed?,diagnosis
470,How is high blood pressure diagnosed?,diagnosis
471,how to diagnose of hemochromatosis?,diagnosis
472,What tests are used to diagnose high blood pressure?,diagnosis
473,hot to diagnose low testosterone?,diagnosis
474,how to diagnoseneonatal diabetes?,diagnosis
475,What defines having impaired glucose tolerance?,diagnosis
476,how to test for Glucose intolerance?,diagnosis
477,how to test for glucagonoma?,diagnosis
478,how to diagnose Juvenile Diabetes and its epidemiology?,diagnosis
479,how is impaired glucose tolerance diagnosed?,diagnosis
480,What will the GAD test results show?,diagnosis
481,How is diabetes insipidus diagnosed?,diagnosis
482,what are the treatment for glucagonoma?,management
483,how to cope with a hypoglycemia in front of your children?,management
484,how to manage drug induced diabetes?,management
485,How can I lower blood pressure whilst managing my diabetes?,management
486,How can impotence be treated?,management
487,What are some Herbal and Natural Therapies for diabetes?,management
488,What is an intensive diabetes treatment therapy?,management
489,How is impaired fasting glycemia treated?,management
490,How is impaired glucose tolerance treated?,management
491,how to improving your hypo awareness?,management
492,how to treat neonatal diabetes?,management
493,how to treating night time hypos?,management
494,how to prevent night time hypoglycemia?,management
495,what are nephrogenic diabetes insipidus treatments?,management
496,how to treat diabetes insipidus?,management
497,How to use desmopressin for treating neurogenic diabetes insipidus?,management
498,how to treatment of insulinoma,management
499,what are the treatment for glucose intolerance?,management
500,what are the treatment of low testosterone?,management
501,how to Manage Your Child’s Diabetes?,management
502,How is Norovirus treated?,management
503,How can I better manage menopause and diabetes?,management
504,how to Preventing dehydration,management
505,How is diabetes controlled?,management
506,How do the dogs help to treat a hypo?,management
507,How is hyperinsulinemia treated?,management
508,how to treating a hypo and beating the hunger?,management
509,what are the treatment of hemochromatosis?,management
510,what are some symptoms of diabetes specific to men,manifestation
511,"What are the symptoms of diabetes that are specific to women?
",manifestation
512,What are the symptoms of diabetes?,manifestation
513,What are the symptoms of hypoglycemia?,manifestation
514,What are the symptoms of diabetes insipidus?,manifestation
515,What conditions are denoted by glucose intolerance?,manifestation
516,what is the Symptoms of glucose intolerance?,manifestation
517,what are the symptoms of Hemochromatosis?,manifestation
518,what are High and Low Blood Pressure Symptoms?,manifestation
519,What are the symptoms of high blood pressure?,manifestation
520,What are the symptoms of low blood pressure?,manifestation
521,what are the symptoms of high blood sugar?,manifestation
522,what are the symptoms of low blood sugar?,manifestation
523,What are the symptoms of hyperinsulinemia?,manifestation
524,what are the symptoms of hypoglycemia at work?,manifestation
525,What are the symptoms of impaired fasting glycemia?,manifestation
526,What are the symptoms of impaired glucose tolerance?,manifestation
527,What are the symptoms of insulinoma?,manifestation
528,What are the symptoms of insulin resistance?,manifestation
529,what are the Symptoms of low testosterone?,manifestation
530,what are neonatal diabetes Symptoms?,manifestation
531,what are the symptoms of night time hypoglycemia?,manifestation
532,what are the symptoms of Norovirus?,manifestation
